Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
female	168	184	169	2	1	3	3
male	193	183	172	2	1	4	3
female	174	182	174	2	4	3	4
female	169	173	169	3	3	2	3
female	173	190	168	2	2	2	2
female	167	192	164	2	1	3	1
female	174	182	177	3	2	2	2
female	164	173	164	2	3	2	3
female	172	179	163	2	3	6	3
female	163	170	165	2	2	2	2
female	171	172	167	2	2	10	2
female	167	178	166	4	2	4	2
male	184	186	162	4	4	3	4
female	160	182	158	4	3	2	3
female	172	188	172	3	3	4	3
female	164	183	168	2	2	2	2
male	184	190	172	4	3	3	3
male	178	175	175	6	4	3	4
female	165	186	172	5	4	3	4
female	168	177	180	2	2	2	2
female	171	185	168	4	3	2	3
male	186	174	163	7	2	8	2
female	180	189	181	2	2	3	2
male	182	179	174	13	7	3	7
female	180	192	178	2	3	3	3
female	184	194	174	6	4	7	3
female	172	180	170	2	2	3	2
female	165	176	168	2	2	2	2
female	165	185	172	1	3	2	3
female	174	180	174	5	2	2	2
female	162	172	169	3	2	4	2
male	175	176	150	2	2	4	2
female	168	185	172	2	2	2	3
female	173	187	169	2	3	3	1
female	162	175	168	1	3	4	1
female	170	190	170	2	2	2	2
male	187	182	171	4	2	3	2
male	161	181	171	2	3	3	2
female	176	187	173	4	3	2	3
female	175	174	170	4	2	4	1
female	164	188	174	2	2	3	2
female	177	193	174	3	2	2	2
male	193	188	160	3	4	2	3
female	165	181	167	2	2	1	2
female	166	180	167	3	3	2	3
male	183	185	158	3	2	5	2
male	187	184	180	2	3	2	3
male	182	180	161	3	4	3	2
male	174	172	170	3	3	2	3
female	165	178	165	5	4	3	3
female	163	178	160	2	3	2	3
female	183	190	175	3	3	2	3
male	188	194	170	2	3	2	3
male	187	185	170	2	3	2	3
male	181	180	167	5	2	3	3
female	173	189	179	2	2	3	2
male	198	180	180	3	1	2	2
female	173	186	175	2	3	2	4
female	168	187	178	2	2	3	2
male	178	194	164	5	4	4	2
male	175	185	168	2	3	3	3
female	168	179	166	5	3	3	3
male	176	182	169	3	3	4	4
female	182	186	182	4	3	2	1
female	173	182	168	2	2	2	2
male	185	186	164	1	2	2	1
female	175	181	180	6	4	2	2
female	165	175	173	2	3	3	3
female	168	176	160	1	3	5	2
male	174	170	164	2	3	4	3
female	170	192	153	2	2	3	2
female	165	182	168	5	4	3	4
female	170	185	165	3	4	4	4
male	175	179	165	3	3	4	3
female	171	175	168	2	1	2	2
male	180	178	161	4	2	4	1
male	185	184	159	2	2	2	2
female	167	180	165	3	3	5	3
male	186	187	171	4	3	2	2
female	170	178	172	2	2	3	2
female	176	185	175	3	3	5	3
male	176	172	162	3	2	2	2
female	165	184	161	3	2	3	2
male	193	189	173	2	3	3	3
male	180	178	165	3	4	2	4
female	175	165	192	4	2	6	2
female	165	170	172	2	4	2	4
female	173	187	176	5	2	2	2
female	169	180	164	1	3	2	3
female	180	185	166	4	2	4	2
male	170	167	168	3	2	2	2
female	176	182	174	3	3	2	2
female	165	180	165	3	2	1	2
female	165	180	165	3	3	2	3
female	180	185	170	2	2	2	2
male	175	187	158	2	2	2	2
female	168	182	167	2	2	2	2
female	180	193	171	2	2	3	2
female	178	195	172	3	2	1	2
female	163	178	165	2	2	1	2
female	168	178	178	3	3	4	2
male	173	182	164	2	2	2	2
female	171	190	167	2	2	3	1
female	161	173	158	4	4	3	3
female	167	176	169	2	3	2	2
male	177	187	176	3	3	3	3
female	164	172	178	3	3	1	3
female	194	179	181	3	1	2	1
female	178	180	176	2	2	3	2
female	168	183	166	5	3	3	3
male	198	181	183	2	2	2	2
male	182	173	165	1	2	4	2
female	165	183	172	1	2	3	2
female	174	187	173	3	2	3	2
female	156	167	168	2	2	2	2
female	164	170	158	1	2	2	2
male	173	175	167	4	1	2	1
female	171	180	170	3	2	2	2
female	165	180	165	4	3	4	3
female	178	193	177	3	3	3	3
female	170	186	164	4	3	2	3
male	176	180	165	3	1	1	1
male	188	181	182	3	2	2	2
female	164	175	165	2	2	2	2
male	177	185	167	1	2	1	2
male	175	175	158	2	3	3	3
female	177	182	175	3	2	1	1
female	171	198	164	2	4	4	2
female	173	180	165	2	2	3	2
female	168	183	169	4	3	2	2
male	170	172	158	7	2	7	3
female	175	182	171	2	3	2	3
female	174	184	168	3	3	4	3
female	160	188	163	2	2	4	2
female	174	187	168	2	2	2	2
male	192	187	178	4	2	2	2
female	168	185	175	2	3	2	3
female	168	174	178	2	4	2	4
female	171	193	168	4	4	3	4
male	181	172	169	2	3	3	3
female	175	198	168	3	3	3	3
male	189	181	168	4	3	2	3
female	160	172	160	3	1	5	1
female	168	186	168	3	2	2	2
male	188	183	165	1	2	1	2
female	176	182	167	2	2	2	2
female	165	174	167	1	2	2	2
female	173	185	167	3	2	2	2
male	173	173	164	3	2	2	2
female	160	165	158	1	2	2	2
female	163	170	165	2	3	2	2
female	170	180	168	3	4	3	2
female	170	180	168	4	5	2	2
male	177	182	165	4	3	2	2
male	196	185	180	3	4	3	2
female	175	172	169	2	3	3	3
male	173	172	152	3	2	1	2
female	171	186	170	2	2	2	2
female	158	165	168	2	3	1	3
